epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1506,2.89157,7.05849,1.63225,0,0,0,0,2.47959,6.292,1.37757,0.000327869,0.000327869,0.000327869
2,22.3601,2.2689,5.03416,1.16441,0.2642,0.11455,0.12112,0.05625,2.11507,5.06351,1.09406,0.00064811,0.00064811,0.00064811
3,30.5049,2.19215,3.98928,1.11109,0.30756,0.42392,0.26777,0.12676,2.06654,4.08696,1.15655,0.000955152,0.000955152,0.000955152
4,38.6175,2.02794,3.4955,1.10136,0.37056,0.45525,0.39537,0.18849,1.95118,3.18046,1.09784,0.0009406,0.0009406,0.0009406
5,46.5252,1.96904,3.0483,1.08604,0.46841,0.58102,0.53124,0.26248,1.83437,2.77353,1.06647,0.0009208,0.0009208,0.0009208
6,55.2192,1.89909,2.63938,1.05964,0.58587,0.59235,0.59282,0.28839,1.82539,2.5332,1.0596,0.000901,0.000901,0.000901
7,65.2813,1.83263,2.38425,1.06013,0.71872,0.631,0.6744,0.33165,1.79382,2.21995,1.05521,0.0008812,0.0008812,0.0008812
8,74.4096,1.82539,2.19927,1.05484,0.75093,0.66936,0.73099,0.36649,1.75585,2.10943,1.04761,0.0008614,0.0008614,0.0008614
9,82.5202,1.85849,2.09637,1.04888,0.75939,0.71591,0.75977,0.37273,1.76774,1.94377,1.03829,0.0008416,0.0008416,0.0008416
10,90.5681,1.78993,1.89255,1.01772,0.87391,0.73968,0.828,0.42062,1.72223,1.757,1.03608,0.0008218,0.0008218,0.0008218
11,98.7558,1.76583,1.76556,1.03778,0.83711,0.75144,0.83593,0.41859,1.70574,1.74727,1.03086,0.000802,0.000802,0.000802
12,107.197,1.71384,1.65401,1.02728,0.86177,0.79073,0.8586,0.41996,1.7415,1.61938,1.03718,0.0007822,0.0007822,0.0007822
13,115.98,1.73621,1.60161,1.01585,0.88967,0.74456,0.86152,0.44032,1.69938,1.53632,1.02558,0.0007624,0.0007624,0.0007624
14,125.779,1.69108,1.5169,1.00801,0.90564,0.81345,0.87599,0.46186,1.68568,1.45079,1.02793,0.0007426,0.0007426,0.0007426
15,134.99,1.69215,1.45812,1.024,0.9341,0.8027,0.88765,0.45805,1.69271,1.43296,1.03,0.0007228,0.0007228,0.0007228
16,142.972,1.67358,1.38008,0.99744,0.93543,0.81121,0.89231,0.46025,1.66414,1.38529,1.01588,0.000703,0.000703,0.000703
17,151.286,1.70089,1.35252,1.00392,0.90732,0.83233,0.89218,0.46365,1.67917,1.33005,1.02897,0.0006832,0.0006832,0.0006832
18,159.294,1.67627,1.28643,0.99832,0.90487,0.81053,0.86315,0.43784,1.68402,1.3076,1.01676,0.0006634,0.0006634,0.0006634
19,167.47,1.59592,1.21655,0.99549,0.93412,0.82429,0.89074,0.47934,1.60951,1.25348,1.00944,0.0006436,0.0006436,0.0006436
20,175.274,1.64137,1.21162,1.00312,0.92265,0.83681,0.89666,0.47619,1.62884,1.21805,1.01455,0.0006238,0.0006238,0.0006238
21,183.384,1.58788,1.18628,0.98286,0.93479,0.88659,0.92406,0.49558,1.6231,1.15267,1.01221,0.000604,0.000604,0.000604
22,191.547,1.60434,1.18342,0.98453,0.92869,0.8482,0.9039,0.47887,1.66689,1.15799,1.02724,0.0005842,0.0005842,0.0005842
23,199.691,1.61126,1.145,0.97876,0.9039,0.87596,0.90153,0.47832,1.62643,1.12608,1.00543,0.0005644,0.0005644,0.0005644
24,207.625,1.5769,1.10382,0.97903,0.92822,0.87096,0.91158,0.50015,1.58594,1.14091,0.99729,0.0005446,0.0005446,0.0005446
25,215.658,1.58179,1.11845,0.96953,0.9452,0.87359,0.90868,0.48085,1.62213,1.08814,1.0124,0.0005248,0.0005248,0.0005248
26,223.577,1.57896,1.07026,0.96237,0.92105,0.87471,0.91159,0.48859,1.61141,1.08484,1.00297,0.000505,0.000505,0.000505
27,231.683,1.55935,1.04177,0.95892,0.9419,0.87043,0.91263,0.49158,1.6489,1.07144,1.01425,0.0004852,0.0004852,0.0004852
28,239.574,1.56196,1.05031,0.97477,0.94735,0.8722,0.91613,0.48805,1.65122,1.05243,1.0205,0.0004654,0.0004654,0.0004654
29,247.642,1.53854,1.02187,0.96202,0.92477,0.88057,0.91403,0.50864,1.5833,1.04119,0.9915,0.0004456,0.0004456,0.0004456
30,255.742,1.5188,0.98266,0.96144,0.9399,0.88249,0.91661,0.50161,1.60684,1.00254,0.99718,0.0004258,0.0004258,0.0004258
31,263.741,1.5313,0.99026,0.95178,0.92468,0.8741,0.91771,0.49859,1.61255,1.01999,1.00443,0.000406,0.000406,0.000406
32,271.864,1.53089,0.97323,0.95917,0.9428,0.89519,0.91841,0.49102,1.62426,0.99173,1.01175,0.0003862,0.0003862,0.0003862
33,279.86,1.4808,0.94842,0.9455,0.9506,0.89218,0.92732,0.50554,1.58302,0.96889,0.99858,0.0003664,0.0003664,0.0003664
34,287.857,1.5088,0.95808,0.96051,0.9597,0.87942,0.92705,0.50193,1.59801,0.98174,0.99768,0.0003466,0.0003466,0.0003466
35,295.762,1.51199,0.93963,0.94318,0.94993,0.89744,0.9272,0.51291,1.58012,0.95394,0.9947,0.0003268,0.0003268,0.0003268
36,303.861,1.48088,0.91628,0.95011,0.95629,0.87923,0.92131,0.51787,1.56957,0.96603,0.99214,0.000307,0.000307,0.000307
37,314.069,1.4832,0.8986,0.95813,0.95106,0.91147,0.92464,0.51413,1.58282,0.93616,0.99133,0.0002872,0.0002872,0.0002872
38,323.769,1.44931,0.90279,0.94253,0.93264,0.91062,0.92606,0.50952,1.59651,0.94241,0.99311,0.0002674,0.0002674,0.0002674
39,332.059,1.44974,0.86973,0.93288,0.97423,0.85389,0.93193,0.51171,1.60155,0.93187,0.9921,0.0002476,0.0002476,0.0002476
40,339.95,1.45579,0.87459,0.93793,0.95879,0.87259,0.92458,0.51368,1.58491,0.92622,0.99546,0.0002278,0.0002278,0.0002278
41,352.032,1.44089,0.86986,0.97811,0.94688,0.88377,0.91725,0.46982,1.70584,0.97294,1.03059,0.000208,0.000208,0.000208
42,360.539,1.45517,0.8776,0.97294,0.94457,0.89399,0.9189,0.45753,1.73562,0.9777,1.02712,0.0001882,0.0001882,0.0001882
43,369.641,1.41243,0.86106,0.96558,0.94577,0.87386,0.92164,0.48555,1.6372,0.94836,1.01095,0.0001684,0.0001684,0.0001684
44,378.575,1.38062,0.82104,0.95454,0.95517,0.88835,0.92528,0.49783,1.61478,0.93197,0.99858,0.0001486,0.0001486,0.0001486
45,388.163,1.38208,0.81141,0.95189,0.94848,0.89701,0.93151,0.51332,1.58725,0.91922,0.99587,0.0001288,0.0001288,0.0001288
46,397.396,1.37509,0.82966,0.95506,0.9417,0.89364,0.92575,0.50574,1.59914,0.91601,0.99922,0.000109,0.000109,0.000109
47,406.604,1.37124,0.81041,0.95479,0.96171,0.88486,0.92853,0.505,1.5934,0.90559,0.99122,8.92e-05,8.92e-05,8.92e-05
48,415.436,1.37055,0.81124,0.9586,0.95364,0.87351,0.91956,0.50175,1.6041,0.91198,0.99754,6.94e-05,6.94e-05,6.94e-05
49,424.091,1.36021,0.80743,0.95125,0.95906,0.87698,0.92774,0.5063,1.58607,0.89915,0.99327,4.96e-05,4.96e-05,4.96e-05
50,431.663,1.36064,0.79496,0.95255,0.95081,0.88249,0.92731,0.50514,1.58462,0.89447,0.99021,2.98e-05,2.98e-05,2.98e-05
