epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4199,2.97112,7.84678,1.59622,0,0,0,0,2.44239,6.01607,1.44982,0.000327869,0.000327869,0.000327869
2,19.6208,2.37429,5.73657,1.16823,0.02964,0.52366,0.05302,0.01908,2.12912,5.10205,1.23958,0.00064811,0.00064811,0.00064811
3,28.0093,2.30617,4.56636,1.10267,0.28367,0.33024,0.26535,0.12302,2.02197,3.76843,1.19149,0.000955152,0.000955152,0.000955152
4,37.6278,2.22307,3.8681,1.09813,0.40426,0.35703,0.32668,0.14605,1.92419,3.23665,1.22934,0.0009406,0.0009406,0.0009406
5,46.9866,2.08053,3.33276,1.06126,0.50041,0.57201,0.4715,0.222,1.84122,2.67858,1.18146,0.0009208,0.0009208,0.0009208
6,54.6966,1.97207,2.91401,1.02858,0.58216,0.58747,0.56053,0.25177,1.87717,2.47976,1.19533,0.000901,0.000901,0.000901
7,62.5252,1.90944,2.68384,1.02362,0.54429,0.60647,0.61356,0.30339,1.79893,2.27845,1.16558,0.0008812,0.0008812,0.0008812
8,70.3397,1.91774,2.44082,1.02504,0.71008,0.63657,0.66383,0.31178,1.83437,2.07802,1.1803,0.0008614,0.0008614,0.0008614
9,78.2445,1.88752,2.21794,1.02045,0.68006,0.71563,0.70802,0.32364,1.84907,1.98101,1.18789,0.0008416,0.0008416,0.0008416
10,86.1759,1.86161,2.04725,1.00272,0.79093,0.70699,0.76367,0.33781,1.87167,1.90975,1.18567,0.0008218,0.0008218,0.0008218
11,95.876,1.81039,1.88663,1.00311,0.80776,0.71049,0.79004,0.36392,1.79197,1.70132,1.16221,0.000802,0.000802,0.000802
12,104.728,1.83556,1.83887,1.01935,0.83494,0.76204,0.81405,0.39898,1.72801,1.62067,1.13984,0.0007822,0.0007822,0.0007822
13,112.474,1.8276,1.77284,1.00685,0.82929,0.76895,0.82008,0.40532,1.71867,1.58906,1.1373,0.0007624,0.0007624,0.0007624
14,120.017,1.82454,1.71157,1.01212,0.85361,0.73142,0.8232,0.42209,1.69762,1.5296,1.13493,0.0007426,0.0007426,0.0007426
15,127.774,1.7829,1.56249,0.99969,0.88871,0.80016,0.8541,0.41785,1.75113,1.45826,1.17114,0.0007228,0.0007228,0.0007228
16,139.104,1.73012,1.50824,0.98034,0.87145,0.7877,0.86212,0.43577,1.69506,1.39692,1.13792,0.000703,0.000703,0.000703
17,146.6,1.72576,1.47873,0.97094,0.85921,0.77867,0.84948,0.3813,1.88274,1.41483,1.2026,0.0006832,0.0006832,0.0006832
18,154.141,1.74714,1.4673,0.96821,0.81926,0.81021,0.86582,0.42697,1.70059,1.35572,1.14306,0.0006634,0.0006634,0.0006634
19,161.704,1.71612,1.39476,0.97805,0.88575,0.81951,0.87593,0.44241,1.70709,1.33307,1.15671,0.0006436,0.0006436,0.0006436
20,169.447,1.67769,1.34117,0.97262,0.88491,0.79211,0.86918,0.4171,1.74859,1.30265,1.17825,0.0006238,0.0006238,0.0006238
21,177.338,1.69279,1.34708,0.97049,0.88841,0.82633,0.87925,0.41257,1.76846,1.28955,1.1668,0.000604,0.000604,0.000604
22,184.907,1.66965,1.32151,0.96998,0.87478,0.8156,0.87123,0.43453,1.71139,1.27052,1.16037,0.0005842,0.0005842,0.0005842
23,192.579,1.66777,1.2709,0.96354,0.92149,0.81064,0.88051,0.44704,1.68824,1.26581,1.13237,0.0005644,0.0005644,0.0005644
24,200.274,1.66031,1.2384,0.97822,0.88565,0.80341,0.87555,0.43107,1.75861,1.29065,1.16261,0.0005446,0.0005446,0.0005446
25,210.988,1.65217,1.20046,0.96525,0.85208,0.7787,0.85284,0.43574,1.70487,1.22661,1.13155,0.0005248,0.0005248,0.0005248
26,219.294,1.63839,1.18804,0.94941,0.92144,0.832,0.9028,0.4477,1.70527,1.15539,1.15138,0.000505,0.000505,0.000505
27,226.922,1.67843,1.15833,0.95406,0.94112,0.85155,0.90132,0.47095,1.64484,1.1253,1.12038,0.0004852,0.0004852,0.0004852
28,234.916,1.61521,1.12759,0.95595,0.93134,0.83066,0.89661,0.46093,1.67678,1.11922,1.1413,0.0004654,0.0004654,0.0004654
