epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66495,3.79454,17.3563,2.2201,0,0,0,0,3.52269,7.63867,2.31629,0.000291667,0.000291667,0.000291667
2,6.59028,4.01333,12.0496,2.28692,0,0,0,0,3.52269,7.63867,2.31629,0.000618813,0.000618813,0.000618813
3,8.77346,3.78941,10.6327,2.18286,0,0,0,0,3.48174,7.40237,2.31925,0.000939358,0.000939358,0.000939358
4,10.7159,3.6897,12.2879,2.26979,0,0,0,0,3.48174,7.40237,2.31925,0.0009703,0.0009703,0.0009703
5,12.9112,3.48695,9.5906,2.10571,0,0,0,0,3.48226,7.43162,2.32132,0.0009604,0.0009604,0.0009604
6,15.0101,3.66184,10.1296,2.29774,0,0,0,0,3.48226,7.43162,2.32132,0.0009505,0.0009505,0.0009505
7,17.0568,3.6089,10.1577,2.07606,0,0,0,0,3.49286,7.47293,2.34864,0.0009406,0.0009406,0.0009406
8,18.9654,3.47669,10.5358,1.9845,0,0,0,0,3.49286,7.47293,2.34864,0.0009307,0.0009307,0.0009307
9,21.0013,3.41346,8.79211,1.69414,0,0,0,0,3.0282,6.4493,1.68528,0.0009208,0.0009208,0.0009208
10,23.1016,3.10645,8.44946,1.58753,0,0,0,0,3.0282,6.4493,1.68528,0.0009109,0.0009109,0.0009109
11,25.5036,3.07677,7.64571,1.5013,0,0,0,0,2.85485,6.3772,1.62034,0.000901,0.000901,0.000901
12,27.8601,3.16466,7.48721,1.56686,0,0,0,0,2.85485,6.3772,1.62034,0.0008911,0.0008911,0.0008911
13,29.9693,2.60897,6.71519,1.28559,0,0,0,0,2.70465,6.16511,1.57179,0.0008812,0.0008812,0.0008812
14,31.9511,2.65118,7.27464,1.23984,0,0,0,0,2.59181,6.06914,1.5341,0.0008713,0.0008713,0.0008713
