epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66733,3.87576,16.3366,2.26376,0,0,0,0,3.50741,7.653,2.2875,0.000291667,0.000291667,0.000291667
2,5.26771,3.86059,13.442,2.21439,0,0,0,0,3.50741,7.653,2.2875,0.000618813,0.000618813,0.000618813
3,6.9945,3.60411,10.2087,2.06529,0,0,0,0,3.39182,7.48989,2.18915,0.000939358,0.000939358,0.000939358
4,8.59035,3.56011,11.0962,2.11078,0,0,0,0,3.39182,7.48989,2.18915,0.0009703,0.0009703,0.0009703
5,10.2446,3.54086,10.1072,2.10388,0,0,0,0,3.34386,7.31125,2.11231,0.0009604,0.0009604,0.0009604
6,12.0663,3.62166,10.8751,2.35272,0,0,0,0,3.34386,7.31125,2.11231,0.0009505,0.0009505,0.0009505
7,13.7832,3.33527,9.91897,1.8227,0,0,0,0,2.90033,6.54936,1.74176,0.0009406,0.0009406,0.0009406
8,15.5671,3.17802,8.45224,1.66198,0,0,0,0,2.90033,6.54936,1.74176,0.0009307,0.0009307,0.0009307
9,17.3808,3.086,7.82647,1.48871,7e-05,0.00214,0,0,2.71381,6.1768,1.57471,0.0009208,0.0009208,0.0009208
10,19.1817,3.0952,8.27328,1.55747,7e-05,0.00214,0,0,2.71381,6.1768,1.57471,0.0009109,0.0009109,0.0009109
11,21.3287,2.93515,7.20692,1.43893,4e-05,0.00214,2e-05,0,2.67945,6.05392,1.51895,0.000901,0.000901,0.000901
12,23.4542,3.0777,7.28117,1.564,4e-05,0.00214,2e-05,0,2.67945,6.05392,1.51895,0.0008911,0.0008911,0.0008911
13,25.4151,2.65689,6.56377,1.31814,2e-05,0.00222,0,0,2.56607,5.91908,1.48866,0.0008812,0.0008812,0.0008812
14,27.489,2.74524,7.26015,1.28783,3e-05,0.00214,0,0,2.4096,5.84789,1.43459,0.0008713,0.0008713,0.0008713
15,29.2313,2.52581,6.41211,1.24456,3e-05,0.00214,0,0,2.4096,5.84789,1.43459,0.0008614,0.0008614,0.0008614
16,31.0574,2.69099,6.67398,1.27273,6e-05,0.00658,0,0,2.3477,5.74389,1.41656,0.0008515,0.0008515,0.0008515
17,32.9907,2.68616,6.80547,1.29784,6e-05,0.00658,0,0,2.3477,5.74389,1.41656,0.0008416,0.0008416,0.0008416
