epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2508,2.63251,7.75519,1.56815,8e-05,0.00889,0,0,2.05663,5.72301,1.34291,0.000327869,0.000327869,0.000327869
2,23.9222,2.14218,5.74196,1.17468,0.42302,0.10604,0.20698,0.08227,1.95906,4.70755,1.2791,0.00064811,0.00064811,0.00064811
3,34.0559,2.09022,4.45638,1.1381,0.36875,0.41533,0.34966,0.16086,1.8826,3.60768,1.26205,0.000955152,0.000955152,0.000955152
4,44.5132,1.98827,3.77897,1.12917,0.41621,0.57538,0.46977,0.21545,1.874,3.06404,1.32984,0.0009406,0.0009406,0.0009406
5,54.2002,1.92248,3.28064,1.1129,0.58928,0.66804,0.62823,0.29518,1.76027,2.60635,1.26108,0.0009208,0.0009208,0.0009208
6,63.8107,1.86228,2.87335,1.0924,0.63909,0.67765,0.67259,0.30702,1.80736,2.51528,1.27041,0.000901,0.000901,0.000901
7,73.544,1.76772,2.63145,1.08905,0.66698,0.72137,0.77392,0.37051,1.75395,2.2202,1.2755,0.0008812,0.0008812,0.0008812
8,82.8068,1.78921,2.3579,1.08185,0.78944,0.71459,0.79601,0.37132,1.7995,1.9966,1.29103,0.0008614,0.0008614,0.0008614
9,91.9127,1.76059,2.13632,1.06954,0.86578,0.79553,0.85653,0.40887,1.73493,1.81468,1.24325,0.0008416,0.0008416,0.0008416
10,101.905,1.6985,1.94715,1.0469,0.83734,0.70848,0.85666,0.42013,1.72194,1.76957,1.28246,0.0008218,0.0008218,0.0008218
11,112.045,1.68542,1.81761,1.05939,0.91128,0.81381,0.89983,0.45856,1.6743,1.57884,1.26035,0.000802,0.000802,0.000802
12,121.659,1.71626,1.77613,1.07017,0.88321,0.81631,0.90065,0.45095,1.65865,1.48071,1.24522,0.0007822,0.0007822,0.0007822
13,131.151,1.70001,1.70332,1.05803,0.89192,0.86189,0.9138,0.46729,1.61249,1.39916,1.21584,0.0007624,0.0007624,0.0007624
14,140.359,1.66931,1.59681,1.05052,0.91248,0.85384,0.91882,0.45529,1.6783,1.33582,1.2512,0.0007426,0.0007426,0.0007426
15,149.903,1.61268,1.45504,1.03547,0.90126,0.82994,0.88718,0.41919,1.74174,1.40823,1.27682,0.0007228,0.0007228,0.0007228
16,160.058,1.58153,1.40286,1.02316,0.92732,0.74298,0.88818,0.44023,1.69622,1.39637,1.25828,0.000703,0.000703,0.000703
17,169.408,1.60138,1.40434,1.02055,0.88458,0.85581,0.92196,0.464,1.67646,1.25676,1.23898,0.0006832,0.0006832,0.0006832
18,179.301,1.62084,1.35675,1.0194,0.94708,0.83761,0.92447,0.46721,1.63824,1.26595,1.23346,0.0006634,0.0006634,0.0006634
19,188.812,1.61813,1.29021,1.03877,0.93284,0.84106,0.91293,0.46695,1.63552,1.2007,1.22645,0.0006436,0.0006436,0.0006436
20,198.598,1.58853,1.26653,1.0225,0.9382,0.87599,0.92015,0.46438,1.67251,1.18191,1.25896,0.0006238,0.0006238,0.0006238
21,207.918,1.57148,1.22486,1.02532,0.93171,0.89267,0.93218,0.44763,1.69736,1.13512,1.26623,0.000604,0.000604,0.000604
22,218.232,1.55079,1.17895,1.01667,0.957,0.90758,0.95609,0.49246,1.62074,1.08094,1.21269,0.0005842,0.0005842,0.0005842
23,228.317,1.56645,1.16899,1.01413,0.96384,0.85132,0.92595,0.48916,1.59894,1.12948,1.20249,0.0005644,0.0005644,0.0005644
24,238.13,1.54905,1.15106,1.02878,0.94632,0.88764,0.9262,0.48321,1.61868,1.08575,1.22172,0.0005446,0.0005446,0.0005446
25,247.323,1.54244,1.10095,1.01292,0.95612,0.88185,0.92848,0.45002,1.73247,1.10354,1.26622,0.0005248,0.0005248,0.0005248
26,257.02,1.52644,1.07026,1.00089,0.96516,0.88579,0.94442,0.48414,1.63105,1.03669,1.22555,0.000505,0.000505,0.000505
27,266.736,1.54324,1.06395,0.99889,0.96436,0.8928,0.93766,0.48786,1.62963,1.02211,1.22527,0.0004852,0.0004852,0.0004852
28,276.836,1.5009,1.05036,1.00527,0.93518,0.87301,0.92481,0.48728,1.62635,1.05015,1.24089,0.0004654,0.0004654,0.0004654
29,286.34,1.51888,1.02163,1.01081,0.95085,0.87031,0.92416,0.48054,1.6315,1.04814,1.22284,0.0004456,0.0004456,0.0004456
30,296.04,1.49805,1.03547,0.99833,0.96057,0.91031,0.9441,0.47663,1.6642,1.00266,1.22748,0.0004258,0.0004258,0.0004258
31,305.047,1.50154,0.98368,0.9856,0.95766,0.8954,0.93906,0.46459,1.67826,0.98201,1.24629,0.000406,0.000406,0.000406
32,315.303,1.48819,0.97034,0.99481,0.94174,0.91084,0.94004,0.46359,1.70112,0.99028,1.26893,0.0003862,0.0003862,0.0003862
