epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6393,2.54867,7.92478,1.55618,0,0,0,0,1.99752,5.6303,1.30701,0.000327869,0.000327869,0.000327869
2,24.9338,1.99596,5.46822,1.1594,0.40155,0.18847,0.30172,0.14176,1.92058,4.56491,1.21858,0.00064811,0.00064811,0.00064811
3,35.5633,1.88709,4.07297,1.14385,0.57185,0.41902,0.47035,0.22625,1.86676,3.49303,1.27541,0.000955152,0.000955152,0.000955152
4,45.085,1.84182,3.56123,1.11966,0.53117,0.60135,0.54675,0.23771,1.90797,3.04433,1.31876,0.0009406,0.0009406,0.0009406
5,54.6418,1.73513,3.01124,1.09896,0.7826,0.64165,0.70963,0.35684,1.73024,2.42163,1.24844,0.0009208,0.0009208,0.0009208
6,64.0751,1.70529,2.56073,1.0906,0.82388,0.67596,0.75106,0.34532,1.86061,2.52943,1.35192,0.000901,0.000901,0.000901
7,73.6734,1.64542,2.25551,1.08931,0.86843,0.69541,0.80548,0.41473,1.71547,1.99827,1.25683,0.0008812,0.0008812,0.0008812
8,83.1952,1.63186,2.09191,1.07604,0.84151,0.71444,0.82725,0.43209,1.67278,1.85129,1.23648,0.0008614,0.0008614,0.0008614
9,92.7791,1.63836,1.95911,1.07877,0.84787,0.73073,0.82195,0.42609,1.70359,1.7866,1.2479,0.0008416,0.0008416,0.0008416
10,102.388,1.60042,1.77994,1.06055,0.87215,0.75991,0.85049,0.44046,1.71719,1.6591,1.26135,0.0008218,0.0008218,0.0008218
11,111.303,1.60085,1.71841,1.05362,0.8199,0.78553,0.85372,0.41104,1.76317,1.64064,1.28889,0.000802,0.000802,0.000802
12,120.641,1.57825,1.59842,1.06202,0.84048,0.74015,0.83142,0.41231,1.71643,1.63907,1.27123,0.0007822,0.0007822,0.0007822
13,130.224,1.5554,1.48962,1.06225,0.93884,0.74762,0.87143,0.45103,1.68506,1.49479,1.25621,0.0007624,0.0007624,0.0007624
14,139.495,1.52239,1.43516,1.04255,0.89702,0.80034,0.88476,0.45935,1.66849,1.42798,1.243,0.0007426,0.0007426,0.0007426
15,148.521,1.52101,1.36649,1.03311,0.8837,0.79559,0.85185,0.43472,1.73224,1.45017,1.26438,0.0007228,0.0007228,0.0007228
16,158.209,1.51221,1.30266,1.03071,0.92957,0.70001,0.85811,0.41973,1.76659,1.49183,1.29658,0.000703,0.000703,0.000703
17,168.2,1.5014,1.29134,1.0407,0.92057,0.78116,0.88512,0.44386,1.69431,1.40087,1.25827,0.0006832,0.0006832,0.0006832
18,177.279,1.48046,1.22066,1.03378,0.78873,0.77546,0.8283,0.40813,1.73332,1.49383,1.26396,0.0006634,0.0006634,0.0006634
19,186.49,1.45861,1.14563,1.027,0.8456,0.80438,0.86926,0.43675,1.68375,1.35067,1.25322,0.0006436,0.0006436,0.0006436
20,195.716,1.45445,1.14027,1.01365,0.86365,0.79934,0.86435,0.41748,1.7402,1.33642,1.27713,0.0006238,0.0006238,0.0006238
21,205.552,1.43251,1.0839,1.01476,0.94561,0.80635,0.8985,0.45836,1.65761,1.19371,1.24121,0.000604,0.000604,0.000604
22,216.762,1.41285,1.06152,1.008,0.91712,0.84331,0.90523,0.46372,1.66354,1.17153,1.25419,0.0005842,0.0005842,0.0005842
23,226.232,1.46777,1.05447,1.02327,0.85588,0.82934,0.88034,0.44035,1.71448,1.18896,1.27523,0.0005644,0.0005644,0.0005644
24,236.107,1.42539,1.01339,1.01171,0.96452,0.7829,0.89804,0.46318,1.65622,1.14587,1.24634,0.0005446,0.0005446,0.0005446
25,245.316,1.40934,1.00094,1.00579,0.94005,0.84462,0.92105,0.46306,1.66467,1.15395,1.2483,0.0005248,0.0005248,0.0005248
26,254.75,1.41038,0.96438,1.00408,0.93767,0.85319,0.93121,0.48958,1.6179,1.10662,1.22267,0.000505,0.000505,0.000505
27,264.011,1.39195,0.93637,1.00134,0.90757,0.87111,0.92141,0.48646,1.58574,1.07414,1.21056,0.0004852,0.0004852,0.0004852
28,272.904,1.41595,0.94695,1.00387,0.94491,0.87469,0.92841,0.46623,1.67074,1.04871,1.24814,0.0004654,0.0004654,0.0004654
29,282.974,1.40625,0.93164,1.00474,0.94365,0.82109,0.9198,0.46152,1.67629,1.10524,1.25749,0.0004456,0.0004456,0.0004456
30,292.514,1.35925,0.89602,1.00013,0.95745,0.87323,0.92937,0.47742,1.66153,1.01077,1.25002,0.0004258,0.0004258,0.0004258
31,303.586,1.36524,0.89981,0.99185,0.94159,0.85623,0.92204,0.46067,1.68466,1.04487,1.25178,0.000406,0.000406,0.000406
32,314.588,1.35124,0.85734,0.99984,0.9466,0.84428,0.92186,0.47767,1.66727,1.0243,1.25892,0.0003862,0.0003862,0.0003862
33,323.969,1.32961,0.85377,0.99172,0.9541,0.83855,0.91901,0.46763,1.68231,1.03251,1.2701,0.0003664,0.0003664,0.0003664
34,333.478,1.32706,0.83591,0.98291,0.92886,0.88938,0.93468,0.47656,1.64231,1.00004,1.23644,0.0003466,0.0003466,0.0003466
35,342.589,1.31085,0.83915,0.96841,0.94375,0.86872,0.92788,0.47295,1.66963,1.01244,1.25287,0.0003268,0.0003268,0.0003268
36,358.393,1.29728,0.80856,0.97289,0.95913,0.85511,0.93078,0.48784,1.64377,0.99711,1.24337,0.000307,0.000307,0.000307
37,368.401,1.302,0.81201,0.98411,0.92286,0.80646,0.91008,0.46898,1.66265,1.04978,1.26387,0.0002872,0.0002872,0.0002872
38,377.818,1.2911,0.79479,0.97665,0.91772,0.89765,0.92494,0.46158,1.68603,0.96612,1.26967,0.0002674,0.0002674,0.0002674
39,386.885,1.27166,0.77787,0.97141,0.94431,0.89625,0.94382,0.48211,1.6416,0.94662,1.25366,0.0002476,0.0002476,0.0002476
40,396.117,1.2464,0.76431,0.97436,0.95321,0.86135,0.9342,0.4696,1.68241,0.95446,1.27381,0.0002278,0.0002278,0.0002278
41,405.669,1.25028,0.75423,0.97152,0.96231,0.85404,0.92587,0.47524,1.67445,0.94976,1.27324,0.000208,0.000208,0.000208
