epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4445,5.06578,10.7358,4.01863,0,0,0,0,4.98153,7.63303,4.06325,0.000327869,0.000327869,0.000327869
2,20.8792,3.61484,8.26016,3.26517,0.00095,0.0641,0.04712,0.01531,2.78561,6.63667,3.21393,0.00064811,0.00064811,0.00064811
3,29.804,3.22715,6.85094,2.70597,0.6805,0.09779,0.10063,0.04243,2.71248,5.9727,3.09383,0.000955152,0.000955152,0.000955152
4,38.3258,2.92213,5.89567,2.47565,0.26525,0.27896,0.17131,0.07697,2.3945,4.94393,2.79772,0.0009406,0.0009406,0.0009406
5,47.1288,2.60648,5.02769,2.19212,0.23421,0.29753,0.22549,0.09792,2.33998,5.16518,2.58112,0.0009208,0.0009208,0.0009208
6,55.5651,2.44971,4.4609,2.05159,0.37286,0.32203,0.29502,0.12557,2.20073,3.97042,2.47699,0.000901,0.000901,0.000901
7,63.9245,2.31893,4.19675,1.98001,0.35453,0.42608,0.34788,0.17765,2.00841,3.62582,2.2975,0.0008812,0.0008812,0.0008812
8,72.4764,2.26227,3.9004,1.86671,0.44121,0.43744,0.39648,0.18669,1.99701,3.4844,2.25912,0.0008614,0.0008614,0.0008614
9,80.9667,2.14982,3.5938,1.80405,0.43718,0.49417,0.43063,0.20387,1.93237,3.28528,2.15367,0.0008416,0.0008416,0.0008416
10,89.6173,2.08289,3.34924,1.70666,0.4662,0.49446,0.41959,0.17414,2.0934,3.29751,2.25084,0.0008218,0.0008218,0.0008218
11,97.6798,2.02132,3.2012,1.67356,0.53984,0.5212,0.51507,0.23269,1.95157,3.0597,2.10588,0.000802,0.000802,0.000802
12,106.084,1.9976,3.15638,1.67618,0.61024,0.51483,0.5411,0.24683,1.93184,2.95862,2.05165,0.0007822,0.0007822,0.0007822
13,114.612,2.01011,3.08381,1.66364,0.6357,0.58437,0.61429,0.28284,1.89501,2.76686,1.99362,0.0007624,0.0007624,0.0007624
14,122.903,1.96798,2.95807,1.62677,0.59892,0.59963,0.57941,0.2842,1.85819,2.77963,1.96607,0.0007426,0.0007426,0.0007426
15,131.394,1.91166,2.79844,1.60063,0.67932,0.60964,0.63823,0.27908,1.95675,2.6667,2.00784,0.0007228,0.0007228,0.0007228
16,139.817,1.90559,2.67728,1.56888,0.65584,0.60202,0.62618,0.27347,1.95885,2.65904,1.99982,0.000703,0.000703,0.000703
17,147.749,1.87219,2.65877,1.51756,0.70412,0.62293,0.66226,0.30584,1.85958,2.5566,1.93575,0.0006832,0.0006832,0.0006832
18,156,1.87644,2.60673,1.51612,0.68202,0.66748,0.67958,0.30144,1.89613,2.47967,1.95635,0.0006634,0.0006634,0.0006634
19,164.107,1.8594,2.47884,1.53351,0.74614,0.66354,0.70712,0.34054,1.82715,2.39394,1.916,0.0006436,0.0006436,0.0006436
20,172.456,1.7924,2.40797,1.48457,0.75662,0.66208,0.73012,0.34001,1.88949,2.36371,1.94361,0.0006238,0.0006238,0.0006238
21,180.72,1.84309,2.37409,1.51917,0.79101,0.61982,0.70179,0.30638,1.93143,2.42195,1.96027,0.000604,0.000604,0.000604
22,189.058,1.8011,2.41608,1.50883,0.80882,0.72876,0.79027,0.37925,1.81639,2.2121,1.88941,0.0005842,0.0005842,0.0005842
23,197.415,1.81047,2.27691,1.47594,0.7972,0.70648,0.76538,0.36245,1.8036,2.21659,1.86181,0.0005644,0.0005644,0.0005644
24,205.499,1.75086,2.23821,1.487,0.82199,0.71461,0.78623,0.38341,1.78137,2.14579,1.85347,0.0005446,0.0005446,0.0005446
25,213.634,1.75978,2.16548,1.46619,0.7792,0.72396,0.77542,0.3634,1.79782,2.12411,1.86509,0.0005248,0.0005248,0.0005248
26,222.042,1.76209,2.1222,1.4286,0.78653,0.73746,0.80603,0.37798,1.80795,2.13799,1.87302,0.000505,0.000505,0.000505
27,230.349,1.77355,2.10487,1.44305,0.91529,0.6631,0.79037,0.39347,1.7563,2.0563,1.8316,0.0004852,0.0004852,0.0004852
28,238.685,1.73974,2.08889,1.45214,0.86483,0.72504,0.81576,0.38356,1.77825,2.08335,1.84309,0.0004654,0.0004654,0.0004654
29,247.22,1.71712,2.00959,1.43112,0.85896,0.71445,0.80231,0.39618,1.74894,2.05499,1.82388,0.0004456,0.0004456,0.0004456
30,255.326,1.65542,2.00251,1.39356,0.86647,0.68372,0.7949,0.38251,1.79599,2.0622,1.84446,0.0004258,0.0004258,0.0004258
31,263.614,1.70004,1.91692,1.38876,0.80834,0.74392,0.78676,0.36576,1.82518,2.04555,1.86522,0.000406,0.000406,0.000406
32,271.69,1.69667,1.93357,1.40345,0.8607,0.74185,0.81253,0.37552,1.8244,1.97582,1.85964,0.0003862,0.0003862,0.0003862
33,280.146,1.69066,1.89641,1.39825,0.84168,0.73275,0.82295,0.38261,1.82637,1.9798,1.85622,0.0003664,0.0003664,0.0003664
34,288.629,1.68158,1.90648,1.41123,0.90108,0.72525,0.81631,0.40811,1.74286,1.95849,1.81249,0.0003466,0.0003466,0.0003466
35,297.015,1.65679,1.91994,1.38927,0.89106,0.75045,0.82314,0.4146,1.73192,1.93304,1.7977,0.0003268,0.0003268,0.0003268
36,305.23,1.66042,1.84119,1.36175,0.92384,0.75821,0.84486,0.41656,1.74883,1.88292,1.80272,0.000307,0.000307,0.000307
37,313.41,1.65683,1.80714,1.38749,0.81305,0.78921,0.82947,0.40571,1.7736,1.8985,1.8331,0.0002872,0.0002872,0.0002872
38,321.641,1.67236,1.80303,1.3915,0.89763,0.75495,0.83642,0.39833,1.77774,1.90981,1.82282,0.0002674,0.0002674,0.0002674
39,330.158,1.63529,1.78333,1.38258,0.9257,0.73616,0.83759,0.41167,1.76372,1.8231,1.8107,0.0002476,0.0002476,0.0002476
40,338.397,1.60738,1.68472,1.36996,0.9145,0.74165,0.83632,0.41248,1.75422,1.85078,1.79694,0.0002278,0.0002278,0.0002278
41,350.399,1.64228,2.12253,1.46628,0.81318,0.73899,0.79337,0.386,1.79973,1.93137,1.8569,0.000208,0.000208,0.000208
42,358.609,1.64736,2.23784,1.43584,0.82411,0.76944,0.81036,0.38541,1.83273,1.87629,1.86169,0.0001882,0.0001882,0.0001882
43,366.717,1.57312,1.95249,1.43844,0.90436,0.76607,0.8404,0.40854,1.77283,1.81197,1.81624,0.0001684,0.0001684,0.0001684
44,374.686,1.55729,1.93389,1.41098,0.90465,0.73066,0.82487,0.39735,1.79781,1.82883,1.82414,0.0001486,0.0001486,0.0001486
45,382.391,1.55201,1.95239,1.40851,0.92055,0.74664,0.85933,0.43334,1.71226,1.7791,1.77167,0.0001288,0.0001288,0.0001288
46,390.578,1.55077,1.91299,1.4083,0.85762,0.8064,0.86378,0.44349,1.69014,1.74172,1.75499,0.000109,0.000109,0.000109
47,398.748,1.5402,1.85614,1.40655,0.94506,0.75784,0.86298,0.43181,1.72326,1.71737,1.77944,8.92e-05,8.92e-05,8.92e-05
48,406.39,1.54296,1.8937,1.40107,0.83957,0.7678,0.83489,0.40808,1.76715,1.74737,1.80884,6.94e-05,6.94e-05,6.94e-05
49,414.106,1.52129,1.84678,1.38973,0.94026,0.73559,0.84862,0.42732,1.72415,1.72724,1.78657,4.96e-05,4.96e-05,4.96e-05
50,421.719,1.5293,1.84073,1.40194,0.93515,0.73979,0.84737,0.42197,1.73769,1.72247,1.78937,2.98e-05,2.98e-05,2.98e-05
